date,open,high,low,close
1639551600000,48057.65000000,49097.06000000,47627.17000000,48209.99000000
1639555200000,48209.50000000,48753.01000000,48207.50000000,48571.69000000
1639558800000,48573.10000000,48934.11000000,48198.23000000,48493.53000000
1639562400000,48488.73000000,48770.18000000,48198.23000000,48226.07000000
1639566000000,48230.28000000,48848.66000000,48039.83000000,48131.70000000
1639569600000,48131.71000000,48538.95000000,47561.15000000,47585.55000000
1639573200000,47583.61000000,48600.08000000,46639.46000000,47649.93000000
1639576800000,47650.02000000,48002.68000000,46639.46000000,47369.98000000
1639580400000,47353.09000000,48102.21000000,46593.75000000,46632.32000000
1639584000000,46632.31000000,48102.21000000,40442.25000000,47019.32000000
1639587600000,47008.20000000,48425.88000000,45955.14000000,47082.05000000
1639591200000,47080.50000000,48183.00000000,45955.14000000,47815.44000000
1639594800000,47808.01000000,48579.09000000,47270.08000000,48579.09000000
1639598400000,48579.09000000,49506.83000000,48101.82000000,49204.52000000
1639602000000,49206.93000000,49517.64000000,48101.82000000,49161.99000000
1639605600000,49162.00000000,49506.83000000,48101.82000000,48747.31000000
1639609200000,48747.31000000,49347.59000000,48101.82000000,48862.09000000
1639612800000,48864.98000000,49466.00000000,48101.82000000,49052.46000000
1639616400000,49043.18000000,49130.33000000,48024.47000000,49030.46000000
1639620000000,49027.02000000,49347.59000000,48869.01000000,49011.86000000
1639623600000,49009.13000000,49048.75000000,48709.70000000,48819.25000000
1639627200000,48819.60000000,48886.00000000,48024.47000000,48742.23000000
1639630800000,48739.72000000,48802.93000000,48514.01000000,48523.00000000
1639634400000,48513.90000000,48912.96000000,48162.23000000,48894.64000000
1639638000000,48894.67000000,49051.71000000,48292.38000000,48715.73000000
1639641600000,48712.22000000,48919.27000000,48162.23000000,48765.40000000
1639645200000,48759.79000000,49117.30000000,48162.23000000,48948.88000000
1639648800000,48948.89000000,49582.78000000,48460.85000000,49146.00000000
1639652400000,49146.00000000,49592.13000000,48469.05000000,49196.00000000
1639656000000,49174.63000000,49755.43000000,48162.23000000,48707.56000000
1639659600000,48700.44000000,49656.80000000,48162.23000000,49000.07000000
1639663200000,49006.79000000,49743.00000000,48503.50000000,48536.11000000
1639666800000,48534.22000000,49390.25000000,48154.58000000,48574.12000000
1639670400000,48574.25000000,49425.66000000,48154.58000000,48508.57000000
1639674000000,48506.57000000,49478.44000000,48076.25000000,48084.15000000
1639677600000,48084.14000000,49063.64000000,47668.16000000,47977.90000000
1639681200000,47976.84000000,48944.37000000,47666.49000000,47877.30000000
1639684800000,47857.59000000,48382.69000000,47048.29000000,47931.08000000
1639688400000,47929.53000000,48944.37000000,47900.01000000,48090.51000000
1639692000000,48084.49000000,48166.82000000,47528.55000000,47821.27000000
1639695600000,47816.54000000,47816.55000000,47532.86000000,47626.64000000
1639699200000,47632.39000000,47964.01000000,47343.25000000,47799.48000000
1639702800000,47777.71000000,48212.54000000,47048.29000000,47848.00000000
1639706400000,47837.69000000,47868.01000000,47633.96000000,47813.74000000
1639710000000,47791.57000000,47810.38000000,47650.01000000,47766.07000000
1639713600000,47766.07000000,47944.05000000,47700.00000000,47913.02000000
1639717200000,47913.01000000,47950.00000000,47599.66000000,47702.83000000
1639720800000,47702.82000000,47954.59000000,47284.82000000,47421.28000000
1639724400000,47419.94000000,48795.46000000,46757.79000000,47016.75000000
1639728000000,47009.50000000,47298.63000000,46791.41000000,47134.82000000
1639731600000,47134.82000000,47280.83000000,46270.65000000,47226.29000000
1639735200000,47225.42000000,47246.75000000,46268.55000000,46949.10000000
